구분,요일/분류,식사종류,메뉴/내용,메모/비고,시간
식단,수요일,저녁,떡만두국,현호 담당 · 들통 대량 조리,18:00
식단,수요일,야식,수박 · 방울토마토 · 과자,간단하게,
식단,목요일,아침,조식 & 새벽 큐티,바나나·삶은계란·시리얼·우유·식빵·잼·컵라면 / 전날 저녁 방으로 미리 제공,07:00
식단,목요일,점심,소불고기 덮밥 + 오이냉국,소불고기+당면+버섯 / 담당: 설희,
식단,목요일,간식,화채 + 아이스크림,공원 전체 행사 외부 지원 · 외부 화구 2개(팀장님 먼저),14:00–16:00
식단,목요일,저녁,보쌈 + 빔국수 + 쌈,든든하게+시원하게 / 담당: 재화형님,
식단,목요일,야식,떡볶이 세트,직접 만들기,
식단,금요일,아침,조식 & 새벽 큐티,전날 저녁 방으로 미리 배달 · 간단히 먹고 일과 시작,07:00
식단,금요일,오전,노방전도,공원 전체 행사 · 다과 지참(사탕·초콜릿·차·음료),
식단,금요일,점심,가정식 백반,계란말이 + 김치찌개 + 제육볶음 + 기타반찬 / 담당: 현호,
식단,금요일,저녁,외식 (식당),식당 장소 및 메뉴 선정 완료 필요,
식단,금요일,야식,간식 없음,외식 및 카페,
식단,토요일,아침,조식 & 새벽 큐티,숙소 비품 및 잔여 식자재 활용,07:00
식단,토요일,점심,외식 (식당),장소·메뉴 선정 · 식사 후 행사 마무리,
기타,아침 공통 메뉴,,바나나 · 삶은계란 · 시리얼 · 우유 · 식빵 · 잼 · 컵라면,,
기타,아침 공통 메뉴,,커피 알아보기 (철수 형),확인필요,
기타,상시 반찬,,김치 · 단무지 · 김,,
기타,상시 간식,,초콜릿 · 비타민젤리 · 말랑카우 · 마이쮸 · 자유시간,상시구비품,
기타,상시 간식,,타먹는 커피 · 디카페인 · 얼음,상시구비품,
기타,밥 담당,,오재화 — 수요일 체크,담당,
기타,준비물,,온수통,우리들교회 대여가능,
기타,준비물,,아이스박스,우리들교회 대여가능 / 통영에서도 준비,
기타,준비물,,들통,준비됨,
기타,준비물,,버너,준비됨,
기타,준비물,,요리기구,숙소에서 챙겨가면 됨,
기타,준비물,,웍,찾아보시는 중,
기타,준비물,,냄비 · 도마 · 볼,숙소에서 챙겨가면 됨,
기타,준비물,,밥솥 — 숙소 2개 + 교회 1개 (10인용 2개 / 20인용 1개),숙소,
